code_script,iso_639_3,iso_639_2,Lang
gbo_Latn,gbo,gbo,Northern Grebo
gbr_Latn,gbr,gbr,Gbagyi
gcf_Latn,gcf,gcf,Guadeloupean Creole French
gcr_Latn,gcr,gcr,Guianese Creole French
gde_Latn,gde,gde,Gude
gdg_Latn,gdg,gdg,Ga'dang
gdn_Latn,gdn,gdn,Umanakaina
gdr_Latn,gdr,gdr,Wipi
geb_Latn,geb,geb,Kire
gej_Latn,gej,gej,Gen
gfk_Latn,gfk,gfk,Patpatar
ghe_Deva,ghe,ghe,Southern Ghale
ghs_Latn,ghs,ghs,Guhu-Samane
gid_Latn,gid,gid,Gidar
gil_Latn,gil,gil,Gilbertese
giz_Latn,giz,giz,South Giziga
gjn_Latn,gjn,gjn,Gonja
gkn_Latn,gkn,gkn,Gokana
gla_Latn,gla,gd,Scottish Gaelic
gle_Latn,gle,ga,Irish
glg_Latn,glg,gl,Galician
glk_Arab,glk,glk,Gilaki
glv_Latn,glv,gv,Manx
gmh_Latn,gmh,gmh,Middle High German (ca. 1050-1500)
gmv_Ethi,gmv,gmv,Gamo
gmv_Latn,gmv,gmv,Gamo
gna_Latn,gna,gna,Kaansa
gnb_Latn,gnb,gnb,Gangte
gnd_Latn,gnd,gnd,Zulgo-Gemzek
gng_Latn,gng,gng,Ngangam
gnn_Latn,gnn,gnn,Gumatj
gnw_Latn,gnw,gnw,Western Bolivian Guaraní
goa_Latn,goa,goa,Guro
gof_Ethi,gof,gof,Gofa
gof_Latn,gof,gof,Gofa
gog_Latn,gog,gog,Gogo
goh_Latn,goh,goh,Old High German (ca. 750-1050)
gom_Deva,gom,gom,Goan Konkani
gom_Latn,gom,gom,Goan Konkani
gor_Latn,gor,gor,Gorontalo
gos_Latn,gos,gos,Gronings
got_Goth,got,got,Gothic
got_Latn,got,got,Gothic
gqr_Latn,gqr,gqr,Gor
grc_Grek,grc,grc,Ancient Greek (to 1453)
grt_Beng,grt,grt,Garo
gso_Latn,gso,gso,Southwest Gbaya
gsw_Latn,gsw,gsw,Swiss German
gub_Latn,gub,gub,Guajajára
guc_Latn,guc,guc,Wayuu
gud_Latn,gud,gud,Yocoboué Dida
gug_Latn,gug,gug,Paraguayan Guaraní
guh_Latn,guh,guh,Guahibo
gui_Latn,gui,gui,Eastern Bolivian Guaraní
guj_Gujr,guj,gu,Gujarati
guj_Latn,guj,gu,Gujarati
guk_Ethi,guk,guk,Gumuz
gul_Latn,gul,gul,Sea Island Creole English
gum_Latn,gum,gum,Guambiano
gun_Latn,gun,gun,Mbyá Guaraní
guo_Latn,guo,guo,Guayabero
guq_Latn,guq,guq,Aché
gur_Latn,gur,gur,Farefare
guu_Latn,guu,guu,Yanomamö
guw_Latn,guw,guw,Gun
gux_Latn,gux,gux,Gourmanchéma
guz_Latn,guz,guz,Gusii
gvc_Latn,gvc,gvc,Guanano
gvf_Latn,gvf,gvf,Golin
gvl_Latn,gvl,gvl,Gulay
gvn_Latn,gvn,gvn,Kuku-Yalanji
gwi_Latn,gwi,gwi,Gwichʼin
gwr_Latn,gwr,gwr,Gwere
gya_Latn,gya,gya,Northwest Gbaya
gym_Latn,gym,gym,Ngäbere
gyr_Latn,gyr,gyr,Guarayu
hac_Arab,hac,hac,Gurani
hae_Latn,hae,hae,Eastern Oromo
hag_Latn,hag,hag,Hanga
hak_Hani,hak,hak,Hakka Chinese
hak_Latn,hak,hak,Hakka Chinese
hat_Latn,hat,ht,Haitian
hau_Latn,hau,ha,Hausa
hav_Latn,hav,hav,Havu
haw_Latn,haw,haw,Hawaiian
hay_Latn,hay,hay,Haya
hbo_Hebr,hbo,hbo,Ancient Hebrew
hch_Latn,hch,hch,Huichol
heb_Hebr,heb,he,Hebrew
heg_Latn,heg,heg,Helong
heh_Latn,heh,heh,Hehe
her_Latn,her,hz,Herero
hif_Latn,hif,hif,Fiji Hindi
hig_Latn,hig,hig,Kamwe
hil_Latn,hil,hil,Hiligaynon
hin_Deva,hin,hi,Hindi
hin_Latn,hin,hi,Hindi
hix_Latn,hix,hix,Hixkaryána
hla_Latn,hla,hla,Halia
hlt_Latn,hlt,hlt,Matu Chin
hmo_Latn,hmo,ho,Hiri Motu
hmr_Latn,hmr,hmr,Hmar
hne_Deva,hne,hne,Chhattisgarhi
hnj_Latn,hnj,hnj,Hmong Njua
hnn_Latn,hnn,hnn,Hanunoo
hns_Latn,hns,hns,Caribbean Hindustani
hoc_Latn,hoc,hoc,Ho
hoc_Wara,hoc,hoc,Ho
hop_Latn,hop,hop,Hopi
hot_Latn,hot,hot,Hote
hra_Latn,hra,hra,Hrangkhol
hrv_Latn,hrv,hr,Croatian
hrx_Latn,hrx,hrx,Hunsrik
hsb_Latn,hsb,hsb,Upper Sorbian
hto_Latn,hto,hto,Minica Huitoto
hub_Latn,hub,hub,Huambisa
hui_Latn,hui,hui,Huli
hun_Latn,hun,hu,Hungarian
hus_Latn,hus,hus,Huastec
huu_Latn,huu,huu,Murui Huitoto
huv_Latn,huv,huv,San Mateo Del Mar Huave
hvn_Latn,hvn,hvn,Sabu
hwc_Latn,hwc,hwc,Hawai'i Creole English
hye_Armn,hye,hy,Armenian
hyw_Armn,hyw,hyw,Western Armenian
ian_Latn,ian,ian,Iatmul
iba_Latn,iba,iba,Iban
ibg_Latn,ibg,ibg,Ibanag
ibo_Latn,ibo,ig,Igbo
icr_Latn,icr,icr,Islander Creole English
ido_Latn,ido,io,Ido
idu_Latn,idu,idu,Idoma
ifa_Latn,ifa,ifa,Amganad Ifugao
